cutoff_ha,island_count,marine_count,fresh_count,marine_fresh_count,named_count,unnamed_count,coordinate_positions,features_retained_pct,coordinate_positions_retained_pct
0,2564,1824,709,31,1336,1228,741257,100.0,100.0
0.1,2564,1824,709,31,1336,1228,741257,100.0,100.0
0.5,2564,1824,709,31,1336,1228,741257,100.0,100.0
1,2564,1824,709,31,1336,1228,741257,100.0,100.0
2,1692,1235,431,26,1005,687,707568,65.99,95.46
5,969,742,211,16,677,292,665654,37.79,89.8
10,630,506,113,11,495,135,635835,24.57,85.78
25,355,305,42,8,316,39,598126,13.85,80.69
50,229,205,18,6,214,15,570088,8.93,76.91
100,158,144,10,4,151,7,546610,6.16,73.74
500,80,74,3,3,79,1,502049,3.12,67.73
1000,55,51,1,3,55,0,472435,2.15,63.73
