"staging_key","name","poi_category","include_v1","coordinate_valid","feature_type","feature_type_code","latitude","longitude","datum","mapsheet","source"
"gazetteer:24bc77dd03db30f46fa5fc80","150 Yard Creek","freshwater","True","True","Creek (1)","602","48.5449999955665","-124.508611111111","WGS84","92C/10","BC Gazetteer"
"gazetteer:db5df7f075214d7e3dcca25c","5040 Peak","terrain","True","True","Peak (2)","2703","49.1919444401969","-125.2825","WGS84","92F/3","BC Gazetteer"
"gazetteer:5374b65ca8b80fe5883d2202","A:mai","populated_administrative","False","True","Former First Nation Village","157","50.0294444404234","-127.079722222222","WGS84","92L/3","BC Gazetteer"
"gazetteer:f4c59beed86696d2e6ac0b70","A:mak:nit Island","coast_island","True","True","Island","2300","50.0174999959758","-127.391944444444","WGS84","92L/3","BC Gazetteer"
"gazetteer:5e2ae8190616bf9124079304","Aa-at-sow-is","populated_administrative","False","True","Former First Nation Village","157","48.834999995651","-125.191111111111","WGS84","92C/14","BC Gazetteer"
"gazetteer:b1daf74a2ad43835d0ec1b06","Aaron Point","coast_island","True","True","Point","1604","48.4441666622034","-123.395277777778","WGS84","92B/6","BC Gazetteer"
"gazetteer:e776d393f8cf1b511c067bd3","Aass 3","reserve_military","False","True","Indian Reserve-Réserve indienne","512","49.6164237996241","-126.818082100857","WGS84","92E/10","BC Gazetteer"
"gazetteer:c922cd871d1afb72f11597b4","Abco Creek","freshwater","True","True","Creek (1)","602","49.4074999958123","-125.870277777778","WGS84","92F/5","BC Gazetteer"
"gazetteer:ceddc720eac3a4844bf5cf53","Abco Mountain","terrain","True","True","Mountain","2701","49.4255555513728","-125.855277777778","WGS84","92F/5","BC Gazetteer"
"gazetteer:ef08f15b8321df8420d9b8f0","Abel Creek","freshwater","True","True","Creek (1)","602","50.1733333293496","-126.363055555556","WGS84","92L/1","BC Gazetteer"
"gazetteer:d377887ed37d60012954da11","Abel, Mount","terrain","True","True","Mount","2743","50.2122222182485","-126.320555555556","WGS84","92L/1","BC Gazetteer"
"gazetteer:e40e2e6ded29ad33c8d6310b","Absunstia Creek","freshwater","True","True","Creek (1)","602","50.515277773881","-127.576388888889","WGS84","92L/12","BC Gazetteer"
"gazetteer:f4b51ec64093f89342e0c111","Achilles Bank","other","False","True","Bank (2)","2000","49.5497845192315","-124.501343479477","WGS84","92F/10","BC Gazetteer"
"gazetteer:21474074eb4e344b939e3b76","Acland Islands","coast_island","True","True","Island","2300","48.8133333289781","-123.380555555556","WGS84","92B/14","BC Gazetteer"
"gazetteer:d5d3655d53da1941840aef05","Acland Rock","other","False","True","Rock (1)","2024","49.6497889376243","-124.151335434071","WGS84","92F/9","BC Gazetteer"
"gazetteer:2308ad0c092b0eb8004f6823","Acorn Island","coast_island","True","True","Island","2300","49.1561111068535","-123.684444444444","WGS84","92G/4","BC Gazetteer"
"gazetteer:d8a30aea677f12c207e461c0","Acous","populated_administrative","False","True","Former First Nation Village","157","50.1102777737778","-127.602777777778","WGS84","92L/4","BC Gazetteer"
"gazetteer:a1c738a1aacddd94ac12943c","Acous Peninsula","coast_island","True","True","Peninsula","1603","50.1119444404449","-127.601666666667","WGS84","92L/4","BC Gazetteer"
"gazetteer:276133e872c533ad00bc5883","Actaeon Sound","coast_island","True","True","Sound (2)","1428","50.9533333295442","-127.074444444444","WGS84","92L/14","BC Gazetteer"
